"participant","Group","format","timepoint","n_correct","n_errors","dprime","c","meta_d","M_ratio"
1101,"LowType2","dots",1,97,23,1.71354858352274,0.0890027944279482,1.42875430405079,0.83379853818532
1102,"HighType2","dots",1,92,28,1.58614963648848,0.442365523317011,1.54527193375429,0.974228344039032
1102,"HighType2","dots",2,92,28,2.1488727897899,0.84804307418303,1.80470613721517,0.839838517100686
1103,"NoFB","dots",1,90,30,1.32203771151256,0.0260116705453475,1.36116944581145,1.02959955979934
1104,"LowType1","dots",1,96,24,1.66127768455332,-0.0687960653905724,1.10293385310365,0.663906981571356
1106,"LowType2","dots",1,92,28,1.91461253655055,-0.77435812784697,0.765241154485924,0.399684604522968
1107,"HighType2","dots",1,88,32,1.31747764443429,0.444689345799548,0.766792626692422,0.582015664502357
1107,"HighType2","dots",2,94,26,1.53837577004179,0.0430299164790185,9.42701175153868e-05,6.1278992656538e-05
1109,"HighType2","dots",1,94,26,1.69433880170466,-0.266767814504359,1.22734638863518,0.724380736249658
1109,"HighType2","dots",2,95,25,1.67182697918403,0.462836184374247,1.63846395912297,0.980043975557
1111,"LowType2","dots",1,94,26,1.55447799314063,-0.179478870527836,1.71096867994851,1.10067089241432
1111,"LowType2","dots",2,96,24,1.88832181755503,0.477335785924926,1.46874491714978,0.777804346428345
1112,"NoFB","dots",2,92,28,1.42259390402634,0.0505458248729169,0.975708893570597,0.685866072397094
1113,"LowType2","dots",1,90,30,1.30628725150124,-0.247745903772381,0.00030135593588387,0.000230696529831045
1114,"NoFB","dots",1,92,28,1.43712837418708,-0.279636985059345,1.36217300541935,0.947843651190779
1114,"NoFB","dots",2,96,24,1.6786816580052,-0.128080737099103,0.557781437550505,0.332273504562697
1116,"HighType2","dots",1,94,26,1.52678394599548,0.116739891919199,1.46674231329417,0.960674440637923
1116,"HighType2","dots",2,93,27,1.6173702384959,0.445767824108595,1.97033598420074,1.21823435185322
1118,"NoFB","dots",1,91,29,1.37274826049434,0.116798435350746,0.00484110216501336,0.00352657679804308
1118,"NoFB","dots",2,92,28,1.45320792902385,0.240817601589778,0.226403054428736,0.15579536135673
1119,"LowType2","dots",1,100,20,1.87322616335329,-0.154183686547681,1.12691412177973,0.601589996886666
1119,"LowType2","dots",2,95,25,1.59824898514062,-0.0608002863036909,1.51824997639479,0.949945841048795
1120,"NoFB","dots",1,93,27,1.56801743271884,0.20889943508098,1.87214413238092,1.19395619800907
1120,"NoFB","dots",2,99,21,2.02732868350214,0.398523237155095,1.54690857827329,0.763028013593266
1121,"NoFB","dots",1,94,26,1.54073607927283,-0.135360854425486,0.289146224437382,0.18766758845152
1121,"NoFB","dots",2,93,27,1.46090656474404,0.0859216762654064,0.752514423008401,0.515100993567132
1122,"LowType2","dots",1,90,30,1.48450175918067,0.267739289659249,0.346029128611653,0.233094455073354
1122,"LowType2","dots",2,94,26,1.53567959044001,0.000462363759805295,1.58521298569719,1.03225503260285
1124,"HighType2","dots",1,90,30,1.34501224384986,-0.0509694526169651,1.44258612644684,1.07254497722466
1124,"HighType2","dots",2,90,30,1.40942100602215,-0.22629280722687,0.816407912876693,0.57925056415958
1125,"HighType2","dots",1,93,27,1.60631779425179,-0.270403479148616,0.487063503981497,0.303217399274574
1125,"HighType2","dots",2,94,26,1.52516554434585,0.0737191454640521,0.569956046936539,0.373701103496273
1127,"LowType1","dots",1,93,27,1.53037635531351,-0.236143119868936,1.12494760001956,0.735079051707578
1127,"LowType1","dots",2,96,24,1.70341023504495,-0.165426315097994,1.79811529455475,1.05559732914679
1129,"HighType2","dots",1,92,28,1.42522251003858,0.00754536211926393,1.33147977037963,0.934225891747661
1130,"LowType1","dots",1,93,27,1.7705705188042,0.936463270514153,0.778995534783752,0.43996865784813
1130,"LowType1","dots",2,92,28,1.65836532561655,0.65236182761783,1.99463211700185,1.20277003274914
1131,"HighType2","dots",1,94,26,1.54509628614818,0.299759022081825,1.65561936935495,1.07153151826045
1131,"HighType2","dots",2,98,22,1.76727842393581,-0.00350734705096856,1.67019821699398,0.945067961206911
1134,"LowType1","dots",1,95,25,1.73445997299412,0.316894884237276,0.883490532593806,0.509374990688701
1134,"LowType1","dots",2,91,29,1.38213325894896,0.0165768792783988,1.35162378525143,0.977925808889995
1135,"HighType2","dots",1,93,27,1.52712479026247,-0.248568630241723,1.03108110595522,0.67517802901884
