"participant","Group","timepoint","n_correct_bio","n_correct_dots","n_errors_bio","n_errors_dots","dprime_bio","dprime_dots","meta_d_bio","meta_d_dots","M_ratio_bio","M_ratio_dots"
1141,"LowType1",2,32,91,6,29,1.90576440673648,1.4176786939899,1.4879120720974,0.693380520169597,0.780742922282494,0.489095676692548
1143,"LowType1",1,18,94,20,26,NA,1.5292223683962,NA,1.22862079118912,NA,0.803428472261793
1143,"LowType1",2,18,95,20,25,NA,1.9671254290583,NA,0.334913278828432,NA,0.170255172283936
1145,"NoFB",1,18,92,20,28,NA,1.48074685237529,NA,1.66216376977192,NA,1.12251717240231
1147,"HighType2",1,28,97,10,23,1.2655412644678,1.84334689220618,1.38137734898835,0.529739564694649,1.09153086333322,0.287379205148218
1148,"LowType1",1,24,94,14,26,NA,1.6471386643533,NA,0.0704424869072155,NA,0.0427665796643009
1148,"LowType1",2,19,94,19,26,NA,1.50628160694554,NA,1.03335663066807,NA,0.686031500287339
1151,"LowType1",1,21,93,17,27,NA,2.59702804337347,NA,0.277450996919255,NA,0.106834039635111
1151,"LowType1",2,22,96,16,24,NA,1.93103599658277,NA,0.753021272226196,NA,0.389957138840897
1153,"LowType1",1,22,93,16,27,NA,1.65155502071086,NA,1.69080807088813,NA,1.02376732817558
1153,"LowType1",2,20,92,18,28,NA,1.42329385842109,NA,1.34189156429002,NA,0.942807106452793
1154,"LowType2",1,20,93,18,27,NA,1.51457601226321,NA,1.34996657118063,NA,0.891316487419734
1154,"LowType2",2,22,95,16,25,NA,1.59142827981576,NA,1.21765959893899,NA,0.765136333432483
1155,"HighType2",1,26,96,12,24,0.903924822552918,1.99398172017308,1.05056148570497,0.390283546590018,1.16222218871909,0.195730754520729
1155,"HighType2",2,29,96,9,24,1.38835148124336,1.64727344446271,0.626737113397295,1.10899161345147,0.451425393255612,0.673228611302715
1156,"HighType2",1,NA,92,NA,28,NA,1.66832913176919,NA,0.826245423938377,NA,0.495253249616388
1157,"LowType2",1,21,91,17,29,NA,1.54950346044675,NA,0.664200394905648,NA,0.428653702208673
1157,"LowType2",2,21,94,17,26,NA,1.55447799314063,NA,0.514324271211789,NA,0.330866228715571
1158,"LowType2",1,23,NA,15,NA,NA,NA,NA,NA,NA,NA
1158,"LowType2",2,29,NA,9,NA,1.39663547834879,NA,0.002956699821129,NA,0.0021170161197857,NA
1159,"NoFB",1,22,97,16,23,NA,1.70722931876954,NA,1.44161170213679,NA,0.844415970536287
1159,"NoFB",2,25,95,13,25,0.772401554134255,1.79517201999342,0.584363458499668,1.04407450148832,0.75655396519062,0.581601367367651
1160,"LowType2",1,22,97,16,23,NA,1.68428077432138,NA,0.106585233421682,NA,0.0632823428532139
