,ID,Progress,Duration..in.seconds.,RecordedDate,Age,Lang,Standing,TimeUNL,FirstGen,Courses,Major,Minor,StartMajor,ContMajor,GPA,CumuGPA,RaceEth,age_yr,GenderRec,MIA_Reg,MIA_Know,Group_2.x,Group_1.x,CorResp_2,CorResp_1,TrialRT_2,TrialRT_1,CorrTrialRT_2,CorrTrialRT_1,ConfRT_2,ConfRT_1,ConfResp_2,ConfResp_1,UnderConf_2,UnderConf_1,OverConf_2,OverConf_1,PreConf_2,PreConf_1,PostConf_2,PostConf_1,AUROC2_2,AUROC2_1,BROC_2,BROC_1,BioPropAcc_2,BioPropAcc_1,dprime_2,dprime_1,c_2,c_1,meta_d_2,meta_d_1,M_ratio_2,M_ratio_1,Group_1.y,Group_2.y,DotsAcc_1,DotsAcc_2,DotsTrialRT_1,DotsTrialRT_2,DotCorTrialRT_1,DotCorTrialRT_2,DotConfRT_1,DotConfRT_2,DotConfResp_1,DotConfResp_2,DotOverConf_1,DotOverConf_2,DotPreConf_1,DotPreConf_2,DotPostConf_1,DotPostConf_2,DotsAUROC2_1,DotsAUROC2_2,DotsBROC_1,DotsBROC_2,DotsPropAcc_1,DotsPropAcc_2,DotsdPrime_1,DotsdPrime_2,Dots_c_1,Dots_c_2,Dots_MetaD_1,Dots_MetaD_2,Dots_MRatio_1,Dots_MRatio_2
11,1114,100,485,10/19/24 14:23,4,1,2,this is my first semester,2,,,,1,1,4,4,1,18,Female,19,11,NoFB,NoFB,27,28,6335.648649,8354.694444,6701.148148,8233.642857,1015.447368,1856,2.657894737,2.105263158,11,16,3,2,NA,NA,NA,NA,0.603448276,0.626388889,0.097958342,0.209677419,71.05263158,73.68421053,1.07405439,1.213698071,0.218387831,-0.109648465,0.630560578,0.782129759,0.5870844,0.644418721,NoFB,NoFB,92,96,1510.784615,1377.665546,1399.72,1522.411458,616.2077586,545.7608333,2.025,2.316666667,2,7,NA,NA,NA,NA,0.695390071,0.583594976,0.567562469,0.094196004,76.66666667,80,1.437128374,1.678681658,-0.279636985,-0.128080737,1.362173005,0.557781438,0.947843651,0.332273505
12,1116,100,517,10/17/24 17:29,5,1,2,3,2,,,,1,1,3.82,3.82,1,20,Female,22,15,HighType2,HighType2,30,28,9105.351351,11814.45946,9167.8,11946.46429,1708.105263,1718.736842,3,2.842105263,5,10,6,7,NA,NA,NA,NA,0.6203125,0.558333333,-0.14893617,0.044568245,78.94736842,73.68421053,1.510830053,1.213698071,0,-0.109648465,1.073314371,0.631742303,0.710413702,0.520510264,HighType2,HighType2,94,93,1027.184034,977.935,1026.246237,957.5731183,979.9481818,619.8584746,2.425,2.433333333,4,3,NA,NA,NA,NA,0.700892857,0.741197822,0.311897687,0.42980049,78.33333333,77.5,1.526783946,1.617370238,0.116739892,0.445767824,1.466742313,1.970335984,0.960674441,1.218234352
13,1118,100,178,10/20/24 22:56,5,1,2,0,2,,,,1,1,3.92,3.92,4,20,Female,33,17,NoFB,NoFB,28,26,6204.815789,11380.80556,5809.428571,10758.07692,1087.578947,1493.891892,3.684210526,3.526315789,1,3,10,9,NA,NA,NA,NA,0.530555556,0.633928571,1,-0.295019157,73.68421053,68.42105263,1.209177217,0.91639949,0.150826418,-0.139560381,0.153780119,1.280147443,0.127177487,1.39693164,NoFB,NoFB,91,92,950.912605,393.5433333,720.8067416,390.6022222,720.1153846,360.9127119,3.641666667,3.65,28,27,NA,NA,NA,NA,0.518036767,0.534219858,-0.507800155,-0.236462797,75.83333333,76.66666667,1.37274826,1.453207929,0.116798435,0.240817602,0.004841102,0.226403054,0.003526577,0.155795361
14,1119,100,390,11/3/24 13:10,NA,1,2,3,2,,,,1,1,3.9,3.78,3,NA,Diverse,17,13,LowType2,LowType2,24,25,7826.657895,6649.243243,7710.083333,6322.48,1195.026316,1087.868421,2.5,2.184210526,13,13,7,3,NA,NA,NA,NA,0.520432692,0.698765432,-0.003484321,0.168772443,63.15789474,65.78947368,NA,0.772401554,NA,0.067561413,NA,1.485502033,NA,1.923225069,LowType2,LowType2,100,95,1014.591667,767.8425,928.25,711.9252631,854.9663866,568.8616667,2.366666667,1.933333333,4,0,NA,NA,NA,NA,0.660427807,0.700840015,0.216454456,1,83.33333333,79.16666667,1.873226163,1.598248985,-0.154183687,-0.060800286,1.126914122,1.518249976,0.601589997,0.949945841
15,1120,100,341,10/25/24 8:52,4,1,1,1,2,,,,1,1,N/A,N/A,1,18,Female,20,15,NoFB,NoFB,21,21,6322.210526,9432.333333,6477.761905,9979.52381,990.0526316,1117.736842,2.842105263,2.710526316,5,8,9,9,NA,NA,NA,NA,0.64416476,0.553775744,-0.157311561,-0.027439814,55.26315789,55.26315789,NA,NA,NA,NA,NA,NA,NA,NA,NoFB,NoFB,93,99,1116.475833,499.8133333,647.8526882,427.1141414,747.8983193,436.2882353,2.575,2.441666667,7,4,NA,NA,NA,NA,0.715063521,0.697158846,0.099976586,0.235821019,77.5,82.5,1.568017433,2.027328684,0.208899435,0.398523237,1.872144132,1.546908578,1.193956198,0.763028014
16,1121,100,286,10/24/24 15:01,4,1,1,one,2,,,,1,1,3.6,3.6,1,18,Female,23,15,NoFB,NoFB,20,24,7774.552632,8222.131579,8165.4,8614.25,909.5789474,1139.710526,3.289473684,3.289473684,3,7,14,12,NA,NA,NA,NA,0.544318182,0.454326923,-0.150960847,0.255733821,52.63157895,63.15789474,NA,NA,NA,NA,NA,NA,NA,NA,NoFB,NoFB,94,93,650.6233333,517.4675,631.556383,495.8,432.4369748,315.7525424,3.666666667,3.2,25,17,NA,NA,NA,NA,0.547619048,0.667763158,-0.089658847,-0.291687092,78.33333333,77.5,1.540736079,1.460906565,-0.135360854,0.085921676,0.289146224,0.752514423,0.187667588,0.515100994
17,1122,100,232,10/24/24 20:53,4,1,1,1,2,,,,1,1,4,4,1,18,Female,25,14,LowType2,LowType2,17,22,5494.972973,3871.473684,5695.176471,3058.090909,960.6578947,704.1578947,2.447368421,2.736842105,6,8,7,10,NA,NA,NA,NA,0.660183066,0.496527778,0.013651877,-0.00637649,44.73684211,57.89473684,NA,NA,NA,NA,NA,NA,NA,NA,LowType2,LowType2,90,94,696.4791667,505.1689076,721.2888889,377.7446809,537.3686441,307.3495727,3.533333333,2.458333333,29,6,NA,NA,NA,NA,0.532269022,0.71577381,0.538053097,0.12410351,75,78.33333333,1.484501759,1.53567959,0.26773929,0.000462364,0.346029129,1.585212986,0.233094455,1.032255033
18,1124,100,288,10/24/24 13:51,4,1,1,1,2,,,,1,1,3.7,3.8,1,18,Female,31,16,HighType2,HighType2,21,20,8361.921053,10249.22222,8439.857143,9454.65,910.6578947,992.9210526,2.789473684,2.842105263,4,5,10,14,NA,NA,NA,NA,0.64416476,0.504545455,-0.222041883,0.040685225,55.26315789,52.63157895,NA,NA,NA,NA,NA,NA,NA,NA,HighType2,HighType2,90,90,691.4208333,666.3,600.0655556,636.1122222,271.8422414,202.1068376,3.15,3.05,20,20,NA,NA,NA,NA,0.705672554,0.627377717,-0.511969761,-0.384615385,75,75,1.345012244,1.409421006,-0.050969453,-0.226292807,1.442586126,0.816407913,1.072544977,0.579250564
19,1125,100,778,10/25/24 16:25,4,1,1,This is my first,2,,,,2,1,3.929,3.929?,1,18,Female,29,13,HighType2,HighType2,22,21,9607.297297,10397.97297,10080.27273,10407.57143,1322.236842,1386.263158,2.763157895,2.710526316,5,8,6,10,NA,NA,NA,NA,0.685185185,0.543478261,-0.143307087,-0.01336047,57.89473684,55.26315789,NA,NA,NA,NA,NA,NA,NA,NA,HighType2,HighType2,93,94,462.4,498.825,439.1222222,495.9468085,684.9830508,397.6806723,2.625,2.616666667,10,12,NA,NA,NA,NA,0.623956443,0.587425595,-0.009235521,-0.03681105,77.5,78.33333333,1.606317794,1.525165544,-0.270403479,0.073719145,0.487063504,0.569956047,0.303217399,0.373701103
20,1127,100,514,10/28/24 20:42,4,1,1,1,2,,,,1,3,4,n/a,1,18,Female,22,14,LowType1,LowType1,27,22,8251.837838,10713.5,8236.62963,10254.04545,1253.894737,1213.184211,2.815789474,2.631578947,8,10,4,6,NA,NA,NA,NA,0.663129973,0.653935185,-0.052056489,0.02811245,71.05263158,57.89473684,1.051522316,NA,-0.071998968,NA,1.135440734,NA,1.079806597,NA,LowType1,LowType1,93,96,1389.458333,765.3083333,1288.967742,698.65625,1091.183486,435.8983051,2.466666667,2.625,7,3,NA,NA,NA,NA,0.663702359,0.736656201,0.114373169,0.368223128,77.5,80,1.530376355,1.703410235,-0.23614312,-0.165426315,1.1249476,1.798115295,0.735079052,1.055597329
