"participant","Group","format","timepoint","n_correct","n_errors","dprime","c","meta_d","M_ratio"
1166,"NoFB","bio",1,22,16,NA,NA,NA,NA
1166,"NoFB","bio",2,23,15,NA,NA,NA,NA
1167,"HighType2","bio",1,29,9,1.35317515240295,0.0788274501589954,1.25324856279056,0.926153987209316
1167,"HighType2","bio",2,31,7,1.68391906627969,0.125462032961855,0.793458260198387,0.471197384771815
1168,"HighType2","bio",1,21,17,NA,NA,NA,NA
1168,"HighType2","bio",2,24,14,NA,NA,NA,NA
1169,"LowType1","bio",1,20,18,NA,NA,NA,NA
1169,"LowType1","bio",2,15,23,NA,NA,NA,NA
1170,"HighType2","bio",1,29,9,1.38835148124336,0.2404135504518,1.29871885585219,0.935439529109085
1170,"HighType2","bio",2,29,9,1.35317515240295,-0.0788274501589954,1.73694338895613,1.28360573712257
1171,"LowType2","bio",1,21,17,NA,NA,NA,NA
1171,"LowType2","bio",2,21,17,NA,NA,NA,NA
1172,"NoFB","bio",1,28,10,1.19240710366503,0.0412806091298618,0.47170658894884,0.395591897682413
1172,"NoFB","bio",2,30,8,1.53691906862961,-0.130975373352428,0.312206260231116,0.203137736139544
1174,"HighType2","bio",1,23,15,NA,NA,NA,NA
1174,"HighType2","bio",2,26,12,0.907524380339759,0,1.01363301740278,1.11692097684835
1175,"LowType1","bio",1,26,12,0.916399490006854,-0.139560381039052,1.21874674123386,1.3299295280323
1175,"LowType1","bio",2,28,10,1.20917721653035,-0.150826418095295,0.879791546423558,0.72759520639006
1177,"HighType2","bio",1,23,15,NA,NA,NA,NA
1177,"HighType2","bio",2,24,14,NA,NA,NA,NA
1178,"HighType2","bio",1,25,13,0.772830608671933,-0.020308947535397,6.07204400422809e-11,7.85688860675765e-11
1178,"HighType2","bio",2,24,14,NA,NA,NA,NA
1179,"LowType2","bio",1,37,1,NA,NA,NA,NA
1179,"LowType2","bio",2,38,0,NA,NA,NA,NA
1182,"HighType2","bio",1,24,14,NA,NA,NA,NA
1182,"HighType2","bio",2,20,18,NA,NA,NA,NA
1183,"LowType2","bio",1,19,19,NA,NA,NA,NA
1183,"LowType2","bio",2,28,10,1.35999877494859,-0.438958993588266,1.00472818863225,0.738771392400871
1184,"HighType2","bio",1,18,20,NA,NA,NA,NA
1184,"HighType2","bio",2,19,19,NA,NA,NA,NA
1185,"LowType2","bio",1,16,22,NA,NA,NA,NA
1185,"LowType2","bio",2,21,17,NA,NA,NA,NA
1187,"NoFB","bio",1,18,20,NA,NA,NA,NA
1187,"NoFB","bio",2,20,18,NA,NA,NA,NA
1189,"LowType1","bio",1,19,19,NA,NA,NA,NA
1189,"LowType1","bio",2,22,16,NA,NA,NA,NA
1190,"LowType1","bio",1,20,18,NA,NA,NA,NA
1190,"LowType1","bio",2,30,8,1.52234450880436,0.206249311699524,2.55989240285429,1.68154605481832
1191,"LowType2","bio",1,18,20,NA,NA,NA,NA
1191,"LowType2","bio",2,18,20,NA,NA,NA,NA
1192,"NoFB","bio",1,20,18,NA,NA,NA,NA
1194,"NoFB","bio",1,23,15,NA,NA,NA,NA
1197,"NoFB","bio",1,21,17,NA,NA,NA,NA
1197,"NoFB","bio",2,17,21,NA,NA,NA,NA
1198,"LowType2","bio",1,20,18,NA,NA,NA,NA
1198,"LowType2","bio",2,27,11,1.05152231621236,0.0719989679362994,5.47498702416045e-06,5.20672451715686e-06
1200,"NoFB","bio",1,20,18,NA,NA,NA,NA
1201,"HighType2","bio",1,23,15,NA,NA,NA,NA
1201,"HighType2","bio",2,30,8,1.53234941711596,0.168414582515501,0.529389182118638,0.345475500695529
1202,"LowType2","bio",1,19,19,NA,NA,NA,NA
1203,"NoFB","bio",1,27,11,1.07405439032484,-0.218387831198047,1.12433388168175,1.04681279813185
1203,"NoFB","bio",2,32,6,1.90576440673648,-0.197467177007769,1.33162338404726e-06,6.98734523186734e-07
1204,"HighType2","bio",1,21,17,NA,NA,NA,NA
1204,"HighType2","bio",2,25,13,0.772401554134255,-0.0675614131027522,0.317495628764136,0.411049961078859
1205,"LowType1","bio",1,18,20,NA,NA,NA,NA
1205,"LowType1","bio",2,30,8,1.52234450880436,0.206249311699524,1.77469300023801,1.16576306478213
1206,"LowType1","bio",1,30,8,1.61615895174411,-0.310878905190503,0.000273384487347167,0.000169156930419584
1206,"LowType1","bio",2,27,11,1.12370771734627,0.372735432400344,1.50812096468425,1.34209362577468
1208,"NoFB","bio",1,26,12,0.916399490006854,-0.139560381039052,1.39024760110594,1.51707592187283
1208,"NoFB","bio",2,26,12,0.907524380339759,0,1.28714571166477,1.41830427870476
1209,"NoFB","bio",1,23,15,NA,NA,NA,NA
1209,"NoFB","bio",2,26,12,0.903924822552918,0.0452381594050952,0.315201263023184,0.348702961970857
1210,"NoFB","bio",1,25,13,0.786878552315271,0.204320849884843,0.399629464575567,0.507866764699226
1211,"LowType1","bio",1,17,21,NA,NA,NA,NA
1211,"LowType1","bio",2,24,14,NA,NA,NA,NA
1212,"LowType1","bio",1,19,19,NA,NA,NA,NA
1212,"LowType1","bio",2,24,14,NA,NA,NA,NA
1214,"HighType2","bio",1,25,13,0.772401554134255,0.0675614131027522,0.287830719114206,0.372643889144968
1214,"HighType2","bio",2,21,17,NA,NA,NA,NA
1215,"LowType1","bio",1,29,9,1.48506473786313,-0.376426012130995,1.04613495553358,0.704437273919029
1215,"LowType1","bio",2,35,3,NA,NA,NA,NA
1216,"NoFB","bio",1,23,15,NA,NA,NA,NA
1216,"NoFB","bio",2,22,16,NA,NA,NA,NA
1217,"HighType2","bio",1,26,12,0.90447828636733,0.185245017778712,1.48173018620556,1.63821532096326
1217,"HighType2","bio",2,27,11,1.05863273314833,0.262322241169211,1.52694817333462,1.44237763061939
